0,[0.01 1.  ]
1,[0.52 2.  ]
2,[1.01 3.  ]
3,[1.51 4.  ]
4,[2.01 1.  ]
5,[2.51 2.  ]
6,[3.01 3.  ]
7,[3.51 4.  ]
8,[4.01 1.  ]
9,[4.51 2.  ]
10,[5.01 3.  ]
11,[5.5 4. ]
12,[6. 1.]
13,[6.5 2. ]
14,[7.01 3.  ]
15,[7.5 4. ]
16,[8.01 1.  ]
17,[8.51 2.  ]
18,[9.01 3.  ]
19,[9.51 4.  ]
20,[10.01  1.  ]
21,[10.51  2.  ]
22,[11.  3.]
23,[11.51  4.  ]
24,[12.  1.]
